modelNumber,bestFitness,epochsToSolution,trainingMinutes,convertedEpochs,initialPercentageNodesUsed,finalPercentageNodesUsed,minInputs,maxInputs
43,202.51,3545,260.85,3545,25.96,10.9,2,3
44,201.6,12703,151.32,12703,20.83,11.54,2,3
45,204.32,14333,666.18,14333,31.73,21.79,2,4
46,205.63,19285,1192.34,19285,37.82,12.18,2,4
47,207.85,5364,114.52,5364,24.04,14.1,2,4
48,200.17,5814,156.82,5814,27.24,23.08,2,4
49,200.02,6247,505.22,6247,21.47,20.19,2,4
50,202.5,18601,373.78,18601,19.23,24.36,2,5
51,210.4,17218,594.49,17218,30.13,28.53,2,5
52,219.22,3703,89.95,3703,28.53,20.83,2,5
53,-28.07,-1,596.48,20000,25.0,28.85,2,5
54,209.21,14322,315.0,14322,33.33,33.97,2,5
55,201.89,9624,580.75,9624,44.23,34.29,2,6
56,126.12,-1,867.48,20000,38.78,30.45,2,6
57,208.48,9005,706.53,9005,42.95,16.67,2,6
58,201.15,6440,213.92,6440,40.71,32.37,2,6
